timestamp,position_lat,position_long,heart_rate,cadence,distance,power,enhanced_speed,enhanced_altitude
2025-09-30T16:19:37.000Z,24.052205,54.621250,89,0,0.44,0,0.833,0.0
2025-09-30T16:19:38.000Z,24.052213,54.621250,89,0,1.74,4,0.833,0.0
2025-09-30T16:19:39.000Z,24.052224,54.621255,93,15,2.58,17,0.833,0.0
2025-09-30T16:19:40.000Z,24.052229,54.621255,93,15,3.43,17,0.833,0.0
2025-09-30T16:19:41.000Z,24.052237,54.621255,97,17,4.29,19,0.926,0.0
2025-09-30T16:19:42.000Z,24.052245,54.621255,97,17,5.32,19,1.074,0.0
2025-09-30T16:19:43.000Z,24.052259,54.621261,97,17,6.47,17,1.181,0.0
2025-09-30T16:19:44.000Z,24.052269,54.621261,97,17,7.67,17,1.275,0.0
2025-09-30T16:19:45.000Z,24.052280,54.621266,96,10,9.04,23,1.383,0.0
2025-09-30T16:19:46.000Z,24.052294,54.621266,96,10,10.48,23,1.509,0.0
2025-09-30T16:19:47.000Z,24.052307,54.621271,95,10,12.09,18,1.614,0.0
2025-09-30T16:19:48.000Z,24.052323,54.621271,95,10,13.72,18,1.626,0.0
2025-09-30T16:19:49.000Z,24.052337,54.621277,95,0,15.29,0,1.551,0.0
2025-09-30T16:19:50.000Z,24.052350,54.621277,95,0,16.79,0,1.474,0.0
2025-09-30T16:19:51.000Z,24.052363,54.621282,95,0,18.24,0,1.398,0.0
2025-09-30T16:19:52.000Z,24.052374,54.621282,97,0,19.58,0,1.323,0.0
2025-09-30T16:19:53.000Z,24.052385,54.621282,103,0,20.87,0,1.244,0.0
2025-09-30T16:19:54.000Z,24.052396,54.621282,104,0,22.06,0,1.172,0.0
2025-09-30T16:19:55.000Z,24.052406,54.621282,104,0,23.17,0,1.094,0.0
2025-09-30T16:19:56.000Z,24.052417,54.621288,104,0,24.25,0,1.023,0.0
2025-09-30T16:19:57.000Z,24.052425,54.621288,103,0,25.06,4,0.833,0.0
2025-09-30T16:19:58.000Z,24.052430,54.621293,102,4,25.90,9,0.833,0.0
2025-09-30T16:19:59.000Z,24.052438,54.621293,102,5,26.73,9,0.833,0.0
2025-09-30T16:20:00.000Z,24.052444,54.621293,103,20,27.55,34,0.843,0.0
2025-09-30T16:20:01.000Z,24.052457,54.621298,103,39,28.65,50,1.270,0.0
2025-09-30T16:20:02.000Z,24.052468,54.621298,104,40,30.08,74,1.652,0.0
